first_name,last_name,ibl_role,orcid,credit_proposal_v1,credit_proposal_v2
Valeria,Aguillon Rodriguez,technician,,"[Methodology] built, designed and tested behavioral rigs (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] attended behavior working group meetings (equal)","[Methodology] built, designed and tested rig assembly (equal)
developed protocols for surgery, husbandry and animal training (equal)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)"
Dora E.,Angelaki,PI,,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Hannah M.,Bayer,staff,https://orcid.org/0000-0002-5644-4124,"[Project administration] administered the collaboration (lead)
[Writing - review and editing] edited the paper (lead)","[Supervision] managed and coordinated team (support)
[Writing - original draft] wrote and curated the appendix protocols (support)
[Writing - review and editing] edited the paper (lead)"
Niccolò,Bonacchi,staff,,"[Data curation] curated data and metadata (equal)
[Funding acquisition] generated progress reports (support)
[Methodology] developed final behavioral task (equal) 
developed protocols for surgery, husbandry and animal training (support)
[Project administration] coordinated behavior working group (support)
attended behavior working group meetings (equal)
[Software] developed data acquisition software and infrastructure (lead)
[Writing - original draft] wrote the paper (support)
[Writing - review and editing] edited the paper (support)","[Methodology] built, designed and tested rig assembly (lead)
designed and delivered rig components (support)
piloted candidate behavioral tasks (equal)
developed final behavioral task (equal)
developed protocols for surgery, husbandry and animal training (support)
standardized licenses and experimental protocols across institutions (equal)
[Software] developed data acquisition software and infrastructure (lead)
[Validation] maintained and validated analysis code (support)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (support)
[Formal analysis] analyzed data (support)
[Data curation] curated data and metadata (equal)
[Writing - original draft] wrote the first version of the paper (support)
wrote and curated the Appendix protocols (support)
[Writing - review and editing] edited the paper (support)
[Supervision] managed and coordinated team (support)
[Project Administration] managed and coordinated research outputs (support)
[Funding acquisition] acquired funding (support)"
Matteo,Carandini,PI,https://orcid.org/0000-0003-4880-7682,"[Funding acquisition] acquired funding (equal)
[Resources] hosted the research (equal)
[Project administration] coordinated behavior working group (lead) 
attended behavior working group meetings (equal)
administered the collaboration (support)
[Supervision] supervised local laboratory research (equal)
Writing - original draft] wrote the paper (equal)
[Writing - review and editing] edited the paper (equal)","[Conceptualization] defined composition and scope of the paper (lead)
[Funding acquisition] acquired funding (equal)
[Resources] hosted the research (equal)
[Project administration] managed and coordinated research outputs (lead) 
[Supervision] supervised local laboratory research (equal)
managed and coordinated team (lead)
[Writing - original draft] wrote the first version of the paper (equal)
wrote the second version of the paper (lead)
[Writing - review and editing] edited the paper (equal)"
Fanny,Cazettes,postdoc,https://orcid.org/0000-0002-9648-4761,"[Methodology] piloted candidate behavioral tasks (lead)
developed final behavioral task (support)
developed protocols for surgery, husbandry and animal training (support)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Project administration] administered the collaboration (support)
attended behavior working group meetings (equal)
[Writing - original draft] wrote the paper (support)","[Methodology] piloted candidate behavioral tasks (lead)
developed final behavioral task (support)
developed protocols for surgery, husbandry and animal training (support)
[Investigation] built and maintained rigs, performed surgeries, collected behavioral data (equal)
[Supervision] managed and coordinated team (support)
[Writing - original draft] wrote the first version of the paper (support)"
Gaelle A.,Chapuis,staff,0000-0002-6849-5316,"[Project administration] managed the development, distribution and usage of training rigs (lead)
coordinated behavior working group (lead)
attended behavior working group meetings (equal)
administered the collaboration (lead)
enforced and applied standardized protocols across all institutions (lead)
[Methodology] developed protocols for surgery, husbandry and animal training (lead)
wrote and curated the Appendix protocols (lead)
[Writing - review and editing] edited the paper (support)
[Funding acquisition] generated progress reports (equal)
[Data curation] curated data and metadata (equal)
maintained and validated analysis code (support)
[Formal analysis] analyzed data for figure 1 (equal)","[Conceptualization] defined composition and scope of the paper (equal)
[Project administration] managed and coordinated research outputs (lead)
[Supervision] managed and coordinated team (lead)
[Methodology] developed protocols for surgery, husbandry and animal training (lead)
designed and delivered rig components (support)
standardized licenses and experimental protocols across institutions (lead)
[Funding acquisition] acquired funding (support)
[Data curation] curated data and metadata (support)
[Validation] maintained and validated analysis code (support)
[Formal analysis] analyzed data (support)
[Writing - review and editing] edited the paper (support)
[Writing - original draft] wrote the second version of the paper (equal)
wrote and curated the appendix protocols (lead)
[Visualization] designed and created figures (support)

"
Anne K.,Churchand,PI,https://orcid.org/0000-0002-3205-3794,"[Funding acquisition] acquired funding (lead)
[Resources] hosted the research (equal)
[Project administration] administered the collaboration (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (lead)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Yang,Dan,PI,https://orcid.org/0000-0002-3818-877X,"[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)","[Funding acquisition] acquired funding (support)
[Resources] hosted the research (equal)
[Supervision] supervised local laboratory research (equal)"
Eric E.,DeWitt,postdoc,https://orcid.org/0000-0001-9182-8257,"[Methodology] developed final behavioral task (support)
piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (support)
[Project administration] attended behavior working group meetings (equal)
coordinated behavior working group (support)
[Writing - review and editing] edited the paper (support)","[Methodology] developed final behavioral task (support)
piloted candidate behavioral tasks (equal)
developed protocols for surgery, husbandry and animal training (support)
[Supervision] managed and coordinated team (support)
[Writing - review and editing] edited the paper (support)"
